Pass	Rep	AA	MO	RE	BS	OA	CX	SX	Total
9	D2	392000000.00	104000000.00	0.00	8000000.00	616000000.00	0.00	0.00	1120000000.00
9	E1	856000000.00	64000000.00	4000000.00	28000000.00	528000000.00	0.00	0.00	1480000000.00
9	E2	976000000.00	96000000.00	0.00	4000000.00	760000000.00	0.00	0.00	1836000000.00
9	F1	624000000.00	112000000.00	0.00	24000000.00	648000000.00	0.00	0.00	1408000000.00
9	F2	424000000.00	144000000.00	0.00	30000000.00	496000000.00	0.00	0.00	1094000000.00
9	G1	736000000.00	30000000.00	0.00	14000000.00	544000000.00	0.00	0.00	1324000000.00
9	G2	1072000000.00	88000000.00	0.00	12000000.00	568000000.00	0.00	0.00	1740000000.00
9	H1	768000000.00	64000000.00	0.00	22000000.00	400000000.00	0.00	0.00	1254000000.00
9	H2	696000000.00	48000000.00	0.00	46000000.00	512000000.00	0.00	0.00	1302000000.00
9	I1	768000000.00	32000000.00	0.00	34000000.00	432000000.00	0.00	0.00	1266000000.00
9	I2	824000000.00	136000000.00	0.00	52000000.00	480000000.00	0.00	0.00	1492000000.00
9	J1	536000000.00	168000000.00	0.00	2000000.00	480000000.00	0.00	0.00	1186000000.00
9	J2	800000000.00	20000000.00	0.00	4000000.00	160000000.00	0.00	0.00	984000000.00
9	K1	1096000000.00	120000000.00	0.00	36000000.00	672000000.00	0.00	0.00	1924000000.00
9	K2	608000000.00	160000000.00	0.00	10000000.00	672000000.00	0.00	0.00	1450000000.00
9	L1	752000000.00	112000000.00	0.00	8000000.00	432000000.00	0.00	0.00	1304000000.00
9	L2	456000000.00	208000000.00	0.00	4000000.00	480000000.00	0.00	0.00	1148000000.00
10	A1	904000000.00	88000000.00	0.00	20000000.00	400000000.00	0.00	0.00	1412000000.00
10	A2	1024000000.00	48000000.00	0.00	12000000.00	464000000.00	0.00	0.00	1548000000.00
10	B1	7784000000.00	8000000.00	0.00	4000000.00	464000000.00	0.00	0.00	8260000000.00
10	B2	464000000.00	48000000.00	0.00	4000000.00	344000000.00	0.00	0.00	860000000.00
10	C1	832000000.00	40000000.00	0.00	10000000.00	568000000.00	0.00	0.00	1450000000.00
